dam_nm,msmt_tm,rsvr_wal_hg,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt
횡성,2024112617,177.03,0,0,3.631,69.9043,80.4
횡성,2024112616,177.04,0,9.554,3.693,69.9571,80.5
횡성,2024112615,177.036,1,12.579,3.773,69.936,80.5
횡성,2024112614,177.03,1,0,3.883,69.9043,80.4
횡성,2024112613,177.033,0,8.274,3.885,69.9201,80.5
횡성,2024112612,177.03,0,3.886,3.886,69.9043,80.4
횡성,2024112611,177.03,0,3.885,3.885,69.9043,80.4
횡성,2024112610,177.03,1,0,3.885,69.9043,80.4
횡성,2024112609,177.037,0,6.827,3.883,69.9413,80.5
횡성,2024112608,177.035,3,16.935,3.741,69.9307,80.5
횡성,2024112607,177.026,3,0,3.591,69.8832,80.4
횡성,2024112606,177.03,3,18.266,3.599,69.9043,80.4
횡성,2024112605,177.02,3,3.689,3.689,69.8515,80.4
횡성,2024112604,177.02,4,3.613,3.613,69.8515,80.4
횡성,2024112603,177.02,6,3.588,3.588,69.8515,80.4
횡성,2024112602,177.02,1,3.626,3.626,69.8515,80.4
횡성,2024112601,177.02,0,3.691,3.691,69.8515,80.4
횡성,2024112524,177.02,0,3.778,3.778,69.8515,80.4
횡성,2024112523,177.02,0,0,3.797,69.8515,80.4
횡성,2024112522,177.024,0,0,3.88,69.8726,80.4
횡성,2024112521,177.03,0,3.881,3.881,69.9043,80.4
횡성,2024112520,177.03,0,3.86,3.86,69.9043,80.4
횡성,2024112519,177.03,0,3.791,3.791,69.9043,80.4
